id,type,enum_values,unit,pack,question_en,true_en,false_en,options_en,extractor,gate_act,gate_ask,public,filterable,required_for_publish,label_es,label_en
operacion,enum,venta|alquiler|alquiler_vacacional,,core,"Is the property offered for sale, for long-term rent or for holiday rent?",,,"venta: For sale. | alquiler: For long-term rent, paid monthly. | alquiler_vacacional: For holiday rent by days or weeks.",feed+jsonld,0.85,0.6,si,si,si,Operación,Operation
tipo,enum,piso|atico|duplex|casa|chalet|adosado|estudio|local|oficina|terreno|garaje,,core,What kind of property is it?,,,"piso: Flat or apartment in a building. | atico: Penthouse: top-floor flat, usually with a terrace. | duplex: Flat on two floors. | casa: House, not described as a villa or a terraced house. | chalet: Detached villa, usually with a plot or garden. | adosado: Terraced or semi-detached house. | estudio: Studio: one main room with kitchen and bathroom. | local: Commercial premises or shop. | oficina: Office. | terreno: Land or plot. | garaje: Parking space or garage on its own.",feed+jsonld,0.8,0.55,si,si,si,Tipo de inmueble,Property type
precio,currency,,EUR,core,"Is {candidate} the current asking price of the property, and not the community fees, the property tax, a deposit or a previous price?",Yes: it is the current asking price (the monthly rent if it is rented out).,"No: it is another amount, or a previous price.",,feed+jsonld+features_table+meta+regex,0.9,0.6,si,si,si,Precio,Price
superficie_construida,area,,m2,core,"Is {candidate} the built area of the property, and not the usable area or the plot?",Yes: it is the built area.,"No: it is the usable area, the plot, a terrace or another figure.",,feed+jsonld+features_table+regex,0.85,0.6,si,si,si,Superficie construida,Built area
superficie_util,area,,m2,core,Is {candidate} the usable (net) floor area of the property?,Yes: it is the usable floor area.,"No: it is the built area, the plot or another figure.",,feed+features_table+regex,0.85,0.6,si,no,no,Superficie útil,Usable area
superficie_parcela,area,,m2,core,Is {candidate} the size of the plot or land that comes with the property?,Yes: it is the plot size.,No: it is the built area or another figure.,,feed+features_table+regex,0.85,0.6,si,no,no,Parcela,Plot size
habitaciones,integer,,,core,Is {candidate} the number of bedrooms?,Yes: it is the number of bedrooms.,"No: it counts other rooms, or it is another number.",,feed+jsonld+features_table+regex,0.85,0.6,si,si,si,Habitaciones,Bedrooms
banos,integer,,,core,Is {candidate} the number of bathrooms?,"Yes: it is the number of bathrooms (full bathrooms and toilets, as stated).",No: it is another number.,,feed+jsonld+features_table+regex,0.85,0.6,si,si,no,Baños,Bathrooms
planta,integer,,,core,"Is {candidate} the floor the property is on, counting the ground floor as 0?",Yes: it is the floor number.,"No: it is the number of floors of the building, a door number or another figure.",,feed+features_table+regex,0.85,0.6,si,no,no,Planta,Floor
planta_tipo,enum,sotano|bajo|entresuelo|intermedia|ultima|atico,,core,Which floor position does the property have in the building?,,,"sotano: Basement, below street level. | bajo: Ground floor. | entresuelo: Mezzanine, between the ground floor and the first floor. | intermedia: A middle floor. | ultima: The top floor, not described as a penthouse. | atico: Penthouse floor.",feed+features_table+regex,0.8,0.55,si,si,no,Posición de la planta,Floor position
zona,text,,,core,,,,,geocode,0.9,0.6,si,si,si,Zona,Area
direccion,text,,,core,,,,,feed+manual,0.9,0.6,no,no,no,Dirección,Address
referencia_catastral,text,,,core,,,,,feed+regex,0.9,0.6,no,no,no,Referencia catastral,Cadastral reference
gastos_comunidad,currency,,EUR/mes,financiero,Is {candidate} the monthly community (homeowners' association) fee?,Yes: it is the monthly community fee.,"No: it is the price, the property tax, another period or another amount.",,feed+features_table+regex,0.85,0.6,si,no,no,Gastos de comunidad,Community fees
ibi,currency,,EUR/año,financiero,Is {candidate} the yearly property tax (IBI)?,Yes: it is the yearly property tax.,"No: it is the community fee, another period or another amount.",,feed+features_table+regex,0.85,0.6,si,no,no,IBI,Property tax (IBI)
precio_anterior,currency,,EUR,financiero,Is {candidate} a previous asking price that has since been lowered?,Yes: it is a previous price that was reduced.,No: it is the current price or another amount.,,feed+regex,0.85,0.6,si,no,no,Precio anterior,Previous price
negociable,boolean,,,financiero,Does the listing say that the price is negotiable?,"Yes: the price is described as negotiable, open to offers or similar.",No: nothing says the price is negotiable.,,regex,0.85,0.6,si,no,no,Precio negociable,Negotiable price
alquilado_con_inquilino,boolean,,,financiero,"Is the property sold with a tenant already living in it (for example ""ideal for investors, currently rented"")?",Yes: it is sold with a sitting tenant or an active lease.,No: it is sold vacant or nothing says it is rented.,,regex,0.85,0.6,si,si,no,Alquilado con inquilino,Sold with tenant
